year_id,sex_id,location_id,pop_observed_80plus,pop_contract_110plus,pop_internal_110plus,benchmark_share_110plus,contract_share_110plus,internal_share_110plus,benchmark_pop_110plus,contract_vs_benchmark_diff,internal_vs_benchmark_diff,flag_contract_far,visual_priority_score,rank_visual_priority
2025,8532,0,436907,136,135.74469413977,0.000310694711093597,0.000311279059387925,0.000310694711093597,135.74469413977,0.255305860229669,0,FALSE,545.023560834096,1
2024,8532,0,422202,120,120.277502518826,0.000284881413443862,0.000284224139156139,0.000284881413443862,120.277502518826,-0.2775025188255,-1.4210854715202e-14,FALSE,481.112639172453,2
2023,8532,0,408656,107,106.801937405767,0.000261349245834558,0.0002618339140989,0.000261349245834558,106.801937405767,0.198062594232809,0,FALSE,428.794189049989,3
2022,8532,0,395251,95,94.8146639604929,0.00023988469089387,0.000240353598093363,0.00023988469089387,94.8146639604929,0.185336039507135,2.8421709430404e-14,FALSE,380.743219786827,4
2025,8507,0,328217,84,84.1616403158966,0.000256420722619171,0.0002559282425956,0.000256420722619171,84.1616403158965,-0.161640315896506,4.2632564145606e-14,FALSE,336.64853118368,5
2021,8532,0,380968,84,83.918688797685,0.000220277526715328,0.000220490959870645,0.000220277526715328,83.918688797685,0.0813112023149927,1.4210854715202e-14,FALSE,336.326098541881,6
2024,8507,0,318411,76,75.8167322760585,0.000238109651601416,0.000238685221302028,0.000238109651601416,75.8167322760585,0.183267723941469,-1.4210854715202e-14,FALSE,304.735373174568,7
2020,8532,0,364790,74,73.7997156702914,0.000202307397873547,0.000202856437950602,0.000202307397873547,73.7997156702914,0.200284329708651,1.4210854715202e-14,FALSE,296.803333479143,8
2023,8507,0,310375,69,68.6221976551027,0.000221094474925824,0.000222311719693919,0.000221094474925824,68.6221976551027,0.377802344897319,2.8421709430404e-14,FALSE,277.516078358662,9
2019,8532,0,345690,64,64.1816340243481,0.000185662397015673,0.000185136972431948,0.000185662397015673,64.1816340243481,-0.181634024348099,0,FALSE,256.728637795727,10
2022,8507,0,302677,62,62.1093062108262,0.00020519995312107,0.000204838821582083,0.00020519995312107,62.1093062108262,-0.109306210826212,7.105427357601e-15,FALSE,248.438669369461,11
2021,8507,0,293885,56,55.9133782230999,0.000190255978437484,0.000190550725623969,0.000190255978437484,55.9133782230999,0.0866217769001381,1.4210854715202e-14,FALSE,224.347666096347,12
2018,8532,0,324348,55,55.2792883408748,0.000170432030846112,0.000169570954653644,0.000170432030846112,55.2792883408748,-0.279288340874821,7.105427357601e-15,FALSE,221.120597668269,13
2020,8507,0,282565,50,49.7663414855822,0.000176123516661944,0.000176950436182825,0.000176123516661944,49.7663414855822,0.233658514417783,0,FALSE,200.937941735755,14
2017,8532,0,302302,47,47.3056913055076,0.000156484877061705,0.00015547366540744,0.000156484877061705,47.3056913055075,-0.305691305507544,7.105427357601e-15,FALSE,189.226810068647,15
2019,8507,0,267591,44,43.6520762790731,0.000163129837248163,0.000164430044358742,0.000163129837248163,43.6520762790731,0.347923720926879,-1.4210854715202e-14,FALSE,177.39689571215,16
2025,8532,15,183394,56,55.9437587056117,0.000305046831988024,0.000305353501205056,0.000305046831988024,55.9437587056117,0.0562412943883146,7.105427357601e-15,FALSE,168.169643890816,17
2016,8532,0,281091,40,40.4017095703365,0.00014373177928264,0.000142302670665372,0.00014373177928264,40.4017095703365,-0.401709570336529,-7.105427357601e-15,FALSE,161.612554715815,18
2018,8507,0,249917,38,37.6720558381798,0.000150738268457847,0.000152050480759612,0.000150738268457847,37.6720558381798,0.327944161820206,-1.4210854715202e-14,FALSE,153.317025496488,19
2025,8507,15,143751,49,48.5447772860902,0.000337700449291415,0.000340867193967346,0.000337700449291415,48.5447772860902,0.455222713909834,-7.105427357601e-15,FALSE,148.375168375757,20
2024,8532,15,176251,48,47.7721823027827,0.000271046305001292,0.000272338880346778,0.000271046305001292,47.7721823027827,0.227817697217311,7.105427357601e-15,FALSE,144.687330817688,21
2015,8532,0,262253,35,34.6478885225076,0.000132116271396352,0.000133458911814164,0.000132116271396352,34.6478885225076,0.352111477492414,1.4210854715202e-14,FALSE,141.413816471641,22
2024,8507,15,139440,43,43.4429220529808,0.000311552797281848,0.00030837636259323,0.000311552797281847,43.4429220529808,-0.442922052980812,-7.105427357601e-15,FALSE,130.338295463008,23
2017,8507,0,231234,32,32.1377811363416,0.000138983804874463,0.000138387953328663,0.000138983804874463,32.1377811363416,-0.137781136341616,7.105427357601e-15,FALSE,128.55350795155,24
2023,8532,15,169598,41,40.7663663091585,0.000240370560437968,0.000241748133822333,0.000240370560437968,40.7663663091585,0.233633690841458,-7.105427357601e-15,FALSE,123.705033792678,25
2023,8507,15,136094,39,39.0797101852195,0.000287152337246458,0.000286566637765074,0.000287152337246458,39.0797101852195,-0.0797101852194615,2.1316282072803e-14,FALSE,117.240887654103,26
2014,8532,0,245948,27,27.2781997080931,0.000110910435165535,0.000109779302942085,0.000110910435165535,27.2781997080931,-0.278199708093052,0,FALSE,109.117323361266,27
2016,8507,0,213234,27,27.2777150087009,0.00012792385364764,0.000126621458116435,0.00012792385364764,27.2777150087009,-0.277715008700888,-3.5527136788005e-15,FALSE,109.116069616928,28
2022,8532,15,163047,35,34.687924177057,0.000212748006262348,0.000214662029966819,0.000212748006262348,34.687924177057,0.312075822942958,-7.105427357601e-15,FALSE,105.941969539942,29
2022,8507,15,132946,35,35.1514079655108,0.000264403652351412,0.000263264784198095,0.000264403652351412,35.1514079655108,-0.151407965510757,2.1316282072803e-14,FALSE,105.457640500992,30
2021,8507,15,129207,31,31.4250772851821,0.000243214975080159,0.000239925081458435,0.000243214975080159,31.4250772851821,-0.425077285182059,-3.5527136788005e-15,FALSE,94.2851015364113,31
2015,8507,0,197606,23,23.2552148082028,0.000117684760625704,0.000116393226926308,0.000117684760625704,23.2552148082028,-0.255214808202776,-3.5527136788005e-15,FALSE,93.0260253676087,32
2021,8532,15,156211,29,29.3557587922282,0.000187923762041266,0.000185646337325797,0.000187923762041266,29.3557587922282,-0.355758792228212,-3.5527136788005e-15,FALSE,88.0741086508311,33
2013,8532,0,231150,21,21.516858554345,9.30861282904823e-05,9.085009733939e-05,9.30861282904823e-05,21.516858554345,-0.516858554344985,3.5527136788005e-15,FALSE,86.0763783411843,34
2020,8507,15,124114,28,27.7392431946487,0.000223498100090632,0.00022559904603832,0.000223498100090632,27.7392431946487,0.260756805351274,3.5527136788005e-15,FALSE,84.7885732538969,35
2020,8532,15,148707,25,24.6346671639025,0.000165659095832089,0.000168115825078846,0.000165659095832089,24.6346671639025,0.365332836097473,0,FALSE,76.1033686960327,36
2019,8507,15,117088,24,24.1669228194702,0.000206399655126658,0.000204974036622028,0.000206399655126658,24.1669228194701,-0.166922819470145,1.4210854715202e-14,FALSE,72.5050453139243,37
2030,8532,0,521031,17,16.6820599606173,3.2017403879265e-05,3.26276171667329e-05,3.2017403879265e-05,16.6820599606173,0.317940039382663,0,FALSE,69.2742010106805,38
2014,8507,0,184708,17,16.8898588772999,9.14408627525605e-05,9.20371613573857e-05,9.14408627525605e-05,16.8898588773,0.11014112270005,-7.105427357601e-15,FALSE,68.4429496852195,39
2012,8532,0,217620,17,17.0019509600292,7.81267850382741e-05,7.81178200533039e-05,7.81267850382742e-05,17.0019509600292,-0.00195096002921602,7.105427357601e-15,FALSE,68.0078397000568,40
2029,8532,0,500855,16,15.8318546146138,3.16096567162429e-05,3.19453734114664e-05,3.16096567162429e-05,15.8318546146138,0.168145385386184,1.77635683940025e-15,FALSE,64.6739244083256,41
2018,8507,15,108673,21,20.6954214222436,0.000190437564273035,0.000193240271272533,0.000190437564273035,20.6954214222436,0.304578577756423,-3.5527136788005e-15,FALSE,63.9221438542678,42
2019,8532,15,140135,20,20.3725172090649,0.000145377794334498,0.000142719520462411,0.000145377794334498,20.3725172090649,-0.37251720906492,0,FALSE,61.125526448811,43
2028,8532,0,483251,15,15.0796982111941,3.12046911671038e-05,3.10397702229276e-05,3.12046911671038e-05,15.0796982111941,-0.0796982111940938,-7.105427357601e-15,FALSE,60.3194525285531,44
2027,8532,0,467323,14,14.4140507074158,3.08438718133192e-05,2.99578664007549e-05,3.08438718133192e-05,14.4140507074158,-0.414050707415756,1.77635683940025e-15,FALSE,57.6597468513133,45
2013,8507,0,173412,14,14.3366175234045,8.26737337866152e-05,8.07325905934999e-05,8.26737337866152e-05,14.3366175234045,-0.336617523404508,0,FALSE,57.3542346663905,46
2026,8532,0,452174,14,13.8029774917026,3.05258097363019e-05,3.09615325073976e-05,3.05258097363019e-05,13.8029774917026,0.197022508297426,5.32907051820075e-15,FALSE,56.7898329242741,47
