dataset_id,version,run_id,table_name,column_name,label,description,data_type,units,allow_na,is_key,n_missing,pct_missing,observed_min,observed_max,example_values
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,year_id,Año calendario,Año calendario de la estimación.,integer,,FALSE,FALSE,0,0,1995,2030,1995|1996|1997|1998|1999
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,age,Edad simple,Edad simple en años cumplidos.,integer,years,FALSE,FALSE,0,0,0,110,0|1|2|3|4
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,sex_id,Sexo,Identificador OMOP-like de sexo usado por el proyecto.,integer,,FALSE,FALSE,0,0,8507,8532,8507|8532
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,dept_sum,dept_sum,dept_sum,integer,,FALSE,FALSE,0,0,0,319672,319672|306436|318194|305522|318421
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,nat_pop,nat_pop,nat_pop,integer,,FALSE,FALSE,0,0,0,319672,319672|306436|318194|305522|318421
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,diff,diff,diff,integer,,FALSE,FALSE,0,0,0,0,0
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,diff_pct,diff_pct,diff_pct,integer,,TRUE,FALSE,62,0.7758,0,0,0
inei_population_1995_2030,v1.0.0,20260416_020030,qc_hierarchical_national_additive_check,flag_diff,flag_diff,flag_diff,logical,,FALSE,FALSE,0,0,,,FALSE
