dataset_id,version,run_id,table_name,column_name,label,description,data_type,units,allow_na,is_key,n_missing,pct_missing,observed_min,observed_max,example_values
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_heatmap_manifest,location_id,location_id,location_id,integer,,FALSE,TRUE,0,0,1,9000,1|2|3|4|5
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_heatmap_manifest,location_label,location_label,location_label,character,,FALSE,FALSE,0,0,,,Amazonas (1)|Ancash (2)|Apurimac (3)|Arequipa (4)|Ayacucho (5)
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_heatmap_manifest,figure_path,figure_path,figure_path,character,,FALSE,FALSE,0,0,,,reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/heatmaps_edad_anio/heatmap_edad_anio_loc_1.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/heatmaps_edad_anio/heatmap_edad_anio_loc_2.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/heatmaps_edad_anio/heatmap_edad_anio_loc_3.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/heatmaps_edad_anio/heatmap_edad_anio_loc_4.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/heatmaps_edad_anio/heatmap_edad_anio_loc_5.png
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_heatmap_manifest,figure_file,figure_file,figure_file,character,,FALSE,FALSE,0,0,,,heatmap_edad_anio_loc_1.png|heatmap_edad_anio_loc_2.png|heatmap_edad_anio_loc_3.png|heatmap_edad_anio_loc_4.png|heatmap_edad_anio_loc_5.png
