year_id,sex_id,location_id,pop_observed_80plus,pop_contract_110plus,pop_internal_110plus,benchmark_share_110plus,contract_share_110plus,internal_share_110plus,benchmark_pop_110plus,contract_vs_benchmark_diff,internal_vs_benchmark_diff,flag_contract_far
1995,8507,0,61776,0,0.225086396183783,3.64358968181466e-06,0,3.64358968181466e-06,0.225086396183783,-0.225086396183783,0,FALSE
1995,8507,1,631,0,0.00014916885856433,2.36400726726355e-07,0,2.36400726726355e-07,0.00014916885856433,-0.00014916885856433,-2.71050543121376e-20,FALSE
1995,8507,2,3393,0,0.0249691482973361,7.35901806582259e-06,0,7.35901806582259e-06,0.0249691482973361,-0.0249691482973361,-6.93889390390723e-18,FALSE
1995,8507,3,1336,0,0.00178201092121159,1.33384050988892e-06,0,1.33384050988892e-06,0.00178201092121159,-0.00178201092121159,0,FALSE
1995,8507,4,3427,0,0.0566686604797888,1.6535938278316e-05,0,1.6535938278316e-05,0.0566686604797888,-0.0566686604797888,0,FALSE
1995,8507,5,1840,0,0.0148056801917994,8.04656532163009e-06,0,8.04656532163009e-06,0.0148056801917994,-0.0148056801917994,1.73472347597681e-18,FALSE
1995,8507,6,3362,0,0.00331351285393044,9.85577886356465e-07,0,9.85577886356466e-07,0.00331351285393044,-0.00331351285393044,1.30104260698261e-18,FALSE
1995,8507,7,1920,0,0.00945239241169188,4.92312104775619e-06,0,4.92312104775619e-06,0.00945239241169188,-0.00945239241169188,0,FALSE
1995,8507,8,3360,0,0.028725046463056,8.54912097114761e-06,0,8.54912097114761e-06,0.028725046463056,-0.028725046463056,-3.46944695195361e-18,FALSE
1995,8507,9,1275,0,0.00968324283827092,7.59470026531052e-06,0,7.59470026531052e-06,0.00968324283827092,-0.00968324283827092,1.73472347597681e-18,FALSE
1995,8507,10,1020,0,0.00344485234991228,3.3773062254042e-06,0,3.3773062254042e-06,0.00344485234991228,-0.00344485234991228,-1.73472347597681e-18,FALSE
1995,8507,11,1575,0,0.00397372127268215,2.52299763344898e-06,0,2.52299763344898e-06,0.00397372127268214,-0.00397372127268214,8.67361737988404e-19,FALSE
1995,8507,12,3090,0,0.00805127924833085,2.60559198975108e-06,0,2.60559198975108e-06,0.00805127924833085,-0.00805127924833085,0,FALSE
1995,8507,13,3321,0,0.00925454310457802,2.7866736237814e-06,0,2.7866736237814e-06,0.00925454310457802,-0.00925454310457802,0,FALSE
1995,8507,14,2728,0,0.0110761621299788,4.06017673386319e-06,0,4.0601767338632e-06,0.0110761621299788,-0.0110761621299788,1.73472347597681e-18,FALSE
1995,8507,15,17278,0,0.00256859906240614,1.48662985438485e-07,0,1.48662985438485e-07,0.00256859906240614,-0.00256859906240614,-4.33680868994202e-19,FALSE
1995,8507,16,925,0,0.00576396612972593,6.23131473483885e-06,0,6.23131473483884e-06,0.00576396612972593,-0.00576396612972593,-2.60208521396521e-18,FALSE
1995,8507,17,75,0,0.00172674510873638,2.30232681164851e-05,0,2.30232681164851e-05,0.00172674510873639,-0.00172674510873639,-4.33680868994202e-19,FALSE
1995,8507,18,450,0,0.00399804901164358,8.88455335920794e-06,0,8.88455335920794e-06,0.00399804901164358,-0.00399804901164358,0,FALSE
1995,8507,19,462,0,0.00479898273685498,1.03874085213311e-05,0,1.03874085213311e-05,0.00479898273685497,-0.00479898273685497,1.73472347597681e-18,FALSE
1995,8507,20,3960,0,0.00297855284347864,7.52159808959253e-07,0,7.52159808959253e-07,0.00297855284347864,-0.00297855284347864,4.33680868994202e-19,FALSE
1995,8507,21,4162,0,0.0106445557865886,2.55755785357727e-06,0,2.55755785357727e-06,0.0106445557865886,-0.0106445557865886,1.73472347597681e-18,FALSE
1995,8507,22,830,0,0.000972014326787936,1.17110159853968e-06,0,1.17110159853968e-06,0.000972014326787936,-0.000972014326787936,0,FALSE
1995,8507,23,446,0,0.000547025400481002,1.22651435085427e-06,0,1.22651435085427e-06,0.000547025400481002,-0.000547025400481002,-1.0842021724855e-19,FALSE
1995,8507,24,369,0,0.00137335743186718,3.72183585871863e-06,0,3.72183585871864e-06,0.00137335743186718,-0.00137335743186718,2.16840434497101e-19,FALSE
1995,8507,25,541,0,0.00436512692408072,8.06862647704384e-06,0,8.06862647704385e-06,0.00436512692408072,-0.00436512692408072,1.73472347597681e-18,FALSE
1995,8532,0,90860,0,0.517839248248397,5.69930935778557e-06,0,5.69930935778557e-06,0.517839248248397,-0.517839248248397,0,FALSE
1995,8532,1,835,0,0.000340725068161844,4.0805397384652e-07,0,4.0805397384652e-07,0.000340725068161844,-0.000340725068161844,0,FALSE
1995,8532,2,4807,0,0.0478511970993496,9.95448244213638e-06,0,9.95448244213637e-06,0.0478511970993496,-0.0478511970993496,-6.93889390390723e-18,FALSE
1995,8532,3,1858,0,0.00301918090173971,1.62496281040889e-06,0,1.62496281040889e-06,0.00301918090173971,-0.00301918090173971,4.33680868994202e-19,FALSE
1995,8532,4,4783,0,0.127154568944721,2.65846893047712e-05,0,2.65846893047712e-05,0.127154568944721,-0.127154568944721,5.55111512312578e-17,FALSE
1995,8532,5,3067,0,0.0407969510827218,1.33019077543925e-05,0,1.33019077543925e-05,0.0407969510827218,-0.0407969510827218,0,FALSE
1995,8532,6,4507,0,0.00960961167707117,2.1321525797806e-06,0,2.1321525797806e-06,0.00960961167707117,-0.00960961167707117,-1.73472347597681e-18,FALSE
1995,8532,7,2731,0,0.0350018312343951,1.28164889177573e-05,0,1.28164889177573e-05,0.0350018312343951,-0.0350018312343951,-6.93889390390723e-18,FALSE
1995,8532,8,4268,0,0.0471576129376362,1.10491126845446e-05,0,1.10491126845446e-05,0.0471576129376362,-0.0471576129376362,-6.93889390390723e-18,FALSE
1995,8532,9,1949,0,0.0272303983809238,1.39714717193041e-05,0,1.39714717193041e-05,0.0272303983809238,-0.0272303983809238,0,FALSE
1995,8532,10,1515,0,0.0081082171087437,5.35195848761961e-06,0,5.35195848761961e-06,0.0081082171087437,-0.0081082171087437,1.73472347597681e-18,FALSE
1995,8532,11,2083,0,0.00750850111411303,3.60465727993904e-06,0,3.60465727993904e-06,0.00750850111411303,-0.00750850111411303,8.67361737988404e-19,FALSE
1995,8532,12,4385,0,0.0141555401229934,3.22817334617866e-06,0,3.22817334617866e-06,0.0141555401229934,-0.0141555401229934,-3.46944695195361e-18,FALSE
1995,8532,13,5216,0,0.020266268219437,3.88540418317427e-06,0,3.88540418317427e-06,0.020266268219437,-0.020266268219437,-3.46944695195361e-18,FALSE
1995,8532,14,3401,0,0.0173282257491465,5.09503844432416e-06,0,5.09503844432416e-06,0.0173282257491465,-0.0173282257491465,-3.46944695195361e-18,FALSE
1995,8532,15,29239,0,0.00952368511260584,3.25718564677514e-07,0,3.25718564677514e-07,0.00952368511260584,-0.00952368511260584,3.46944695195361e-18,FALSE
1995,8532,16,1332,0,0.0129014450831794,9.68576958196651e-06,0,9.68576958196651e-06,0.0129014450831794,-0.0129014450831794,-3.46944695195361e-18,FALSE
1995,8532,17,62,0,0.00323397244418297,5.21608458739188e-05,0,5.21608458739188e-05,0.00323397244418297,-0.00323397244418297,0,FALSE
1995,8532,18,573,0,0.00946828204339077,1.65240524317465e-05,0,1.65240524317465e-05,0.00946828204339077,-0.00946828204339077,-1.73472347597681e-18,FALSE
1995,8532,19,737,0,0.0150086487255453,2.03645165882568e-05,0,2.03645165882568e-05,0.0150086487255453,-0.0150086487255453,-1.73472347597681e-18,FALSE
1995,8532,20,4786,0,0.00748871196574307,1.56471206973319e-06,0,1.56471206973319e-06,0.00748871196574306,-0.00748871196574306,8.67361737988404e-19,FALSE
1995,8532,21,5812,0,0.0311049677248378,5.35185267116961e-06,0,5.35185267116961e-06,0.0311049677248378,-0.0311049677248378,3.46944695195361e-18,FALSE
1995,8532,22,1271,0,0.00606336881815326,4.77054981758714e-06,0,4.77054981758714e-06,0.00606336881815326,-0.00606336881815326,-8.67361737988404e-19,FALSE
1995,8532,23,643,0,0.00283276359949504,4.40554214540442e-06,0,4.40554214540442e-06,0.00283276359949504,-0.00283276359949504,4.33680868994202e-19,FALSE
1995,8532,24,448,0,0.00406574312029792,9.07531946495072e-06,0,9.07531946495072e-06,0.00406574312029792,-0.00406574312029792,8.67361737988404e-19,FALSE
1995,8532,25,552,0,0.0106188299698122,1.92370108148772e-05,0,1.92370108148772e-05,0.0106188299698122,-0.0106188299698122,-5.20417042793042e-18,FALSE
1996,8507,0,64587,0,0.251574398587335,3.89512438396791e-06,0,3.89512438396791e-06,0.251574398587335,-0.251574398587335,5.55111512312578e-17,FALSE
1996,8507,1,641,0,0.000173658351766431,2.70917865470251e-07,0,2.70917865470251e-07,0.000173658351766431,-0.000173658351766431,2.71050543121376e-20,FALSE
1996,8507,2,3481,0,0.0266206637302591,7.64741848039618e-06,0,7.64741848039619e-06,0.0266206637302591,-0.0266206637302591,1.73472347597681e-17,FALSE
1996,8507,3,1334,0,0.001724389820847,1.29264604261394e-06,0,1.29264604261394e-06,0.001724389820847,-0.001724389820847,2.16840434497101e-19,FALSE
1996,8507,4,3475,0,0.065816911685076,1.89401184705255e-05,0,1.89401184705255e-05,0.065816911685076,-0.065816911685076,0,FALSE
1996,8507,5,1849,0,0.0130690721833589,7.06818398234664e-06,0,7.06818398234664e-06,0.0130690721833589,-0.0130690721833589,0,FALSE
1996,8507,6,3377,0,0.00376745045694827,1.11562050842412e-06,0,1.11562050842412e-06,0.00376745045694826,-0.00376745045694826,4.33680868994202e-19,FALSE
1996,8507,7,1969,0,0.0115734188673024,5.87781557506471e-06,0,5.87781557506471e-06,0.0115734188673024,-0.0115734188673024,1.73472347597681e-18,FALSE
1996,8507,8,3414,0,0.0282844260502128,8.28483481259893e-06,0,8.28483481259893e-06,0.0282844260502128,-0.0282844260502128,3.46944695195361e-18,FALSE
1996,8507,9,1302,0,0.00914394070192313,7.02299593081654e-06,0,7.02299593081654e-06,0.00914394070192313,-0.00914394070192313,1.73472347597681e-18,FALSE
1996,8507,10,1051,0,0.00389475527357112,3.70576144012476e-06,0,3.70576144012476e-06,0.00389475527357112,-0.00389475527357112,-4.33680868994202e-19,FALSE
1996,8507,11,1588,0,0.00554515612007915,3.49191191440753e-06,0,3.49191191440753e-06,0.00554515612007915,-0.00554515612007915,0,FALSE
1996,8507,12,3209,0,0.00893142363540035,2.7832420178873e-06,0,2.7832420178873e-06,0.00893142363540035,-0.00893142363540035,0,FALSE
1996,8507,13,3445,0,0.0114443218594235,3.32200924801842e-06,0,3.32200924801842e-06,0.0114443218594235,-0.0114443218594235,3.46944695195361e-18,FALSE
1996,8507,14,2797,0,0.0141930092323588,5.07436869229847e-06,0,5.07436869229847e-06,0.0141930092323588,-0.0141930092323588,-1.73472347597681e-18,FALSE
1996,8507,15,19236,0,0.0042849055943104,2.22754501679684e-07,0,2.22754501679684e-07,0.0042849055943104,-0.0042849055943104,0,FALSE
1996,8507,16,957,0,0.00628081126772491,6.56302117839594e-06,0,6.56302117839594e-06,0.00628081126772491,-0.00628081126772491,1.73472347597681e-18,FALSE
1996,8507,17,90,0,0.00222560984105534,2.47289982339482e-05,0,2.47289982339482e-05,0.00222560984105534,-0.00222560984105534,0,FALSE
1996,8507,18,462,0,0.0044147856392253,9.55581307191623e-06,0,9.55581307191623e-06,0.0044147856392253,-0.0044147856392253,0,FALSE
1996,8507,19,459,0,0.00511681608469683,1.11477474612131e-05,0,1.11477474612131e-05,0.00511681608469683,-0.00511681608469683,8.67361737988404e-19,FALSE
1996,8507,20,3981,0,0.00381121031132614,9.57349990285391e-07,0,9.57349990285391e-07,0.00381121031132614,-0.00381121031132614,-1.30104260698261e-18,FALSE
1996,8507,21,4207,0,0.0126548346357992,3.00804246156386e-06,0,3.00804246156386e-06,0.0126548346357992,-0.0126548346357992,1.73472347597681e-18,FALSE
1996,8507,22,856,0,0.00117567950656677,1.37345736748454e-06,0,1.37345736748454e-06,0.00117567950656677,-0.00117567950656677,0,FALSE
1996,8507,23,459,0,0.000688561394007357,1.50013375600731e-06,0,1.50013375600731e-06,0.000688561394007357,-0.000688561394007357,1.0842021724855e-19,FALSE
1996,8507,24,377,0,0.00162486232143246,4.30997963244685e-06,0,4.30997963244685e-06,0.00162486232143246,-0.00162486232143246,-6.50521303491303e-19,FALSE
1996,8507,25,571,0,0.00511372402266387,8.9557338400418e-06,0,8.95573384004181e-06,0.00511372402266387,-0.00511372402266387,8.67361737988404e-19,FALSE
1996,8532,0,95125,1,0.609831820455992,6.41084699559519e-06,1.05124835742444e-05,6.41084699559519e-06,0.609831820455992,0.390168179544008,0,FALSE
1996,8532,1,875,0,0.000423891213449756,4.84447101085435e-07,0,4.84447101085435e-07,0.000423891213449756,-0.000423891213449756,-5.42101086242752e-20,FALSE
1996,8532,2,5024,0,0.0553612204232724,1.10193511988998e-05,0,1.10193511988998e-05,0.0553612204232724,-0.0553612204232724,-6.93889390390723e-18,FALSE
1996,8532,3,1924,0,0.00321415323381545,1.67055781383339e-06,0,1.67055781383339e-06,0.00321415323381545,-0.00321415323381545,-4.33680868994202e-19,FALSE
1996,8532,4,5004,0,0.152250330818968,3.04257255833268e-05,0,3.04257255833268e-05,0.152250330818968,-0.152250330818968,0,FALSE
1996,8532,5,3201,0,0.0385706825470693,1.20495728044578e-05,0,1.20495728044578e-05,0.0385706825470693,-0.0385706825470693,0,FALSE
1996,8532,6,4698,0,0.0117277367858827,2.49632541206529e-06,0,2.49632541206529e-06,0.0117277367858827,-0.0117277367858827,1.73472347597681e-18,FALSE
1996,8532,7,2816,0,0.04485868903747,1.59299321866016e-05,0,1.59299321866016e-05,0.04485868903747,-0.04485868903747,0,FALSE
1996,8532,8,4440,0,0.0506043848669033,1.13973839790323e-05,0,1.13973839790323e-05,0.0506043848669033,-0.0506043848669033,0,FALSE
1996,8532,9,2065,0,0.0277051351384851,1.34165303334068e-05,0,1.34165303334068e-05,0.0277051351384851,-0.0277051351384851,0,FALSE
1996,8532,10,1608,0,0.0095025054243582,5.90951829873023e-06,0,5.90951829873023e-06,0.0095025054243582,-0.0095025054243582,-1.73472347597681e-18,FALSE
1996,8532,11,2206,0,0.0113354910159856,5.13848187488016e-06,0,5.13848187488017e-06,0.0113354910159856,-0.0113354910159856,1.73472347597681e-18,FALSE
1996,8532,12,4611,0,0.0164232710472649,3.56175906468551e-06,0,3.56175906468551e-06,0.0164232710472649,-0.0164232710472649,0,FALSE
