dataset_id,version,run_id,table_name,column_name,label,description,data_type,units,allow_na,is_key,n_missing,pct_missing,observed_min,observed_max,example_values
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,artifact,artifact,artifact,character,,FALSE,FALSE,0,0,,,data/derived/qc/inei_population/contract_fingerprint_baseline.csv|data/derived/qc/inei_population/contract_fingerprint_post.csv|data/derived/qc/inei_population/qc_summary.csv|data/derived/qc/inei_population/qc_duplicates.csv|data/derived/qc/inei_population/qc_missing_required.csv
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,exists,exists,exists,logical,,FALSE,FALSE,0,0,,,FALSE|TRUE
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,rows,rows,rows,integer,,TRUE,FALSE,1,2.5,0,207792,1|0|5|1872|72
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,columns,columns,columns,integer,,TRUE,FALSE,1,2.5,2,25,17|25|5|3|4
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,dictionary,dictionary,dictionary,character,,FALSE,FALSE,0,0,,,data/derived/qc/inei_population/contract_fingerprint_baseline_diccionario_ext.csv|data/derived/qc/inei_population/contract_fingerprint_post_diccionario_ext.csv|data/derived/qc/inei_population/qc_summary_diccionario_ext.csv|data/derived/qc/inei_population/qc_duplicates_diccionario_ext.csv|data/derived/qc/inei_population/qc_missing_required_diccionario_ext.csv
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,dictionary_exists,dictionary_exists,dictionary_exists,logical,,FALSE,FALSE,0,0,,,FALSE|TRUE
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,portal_qc_artifact_inventory,download_href,download_href,download_href,character,,FALSE,FALSE,0,0,,,|../../downloads/contract_fingerprint_post.csv|../../downloads/qc_summary.csv|../../downloads/qc_duplicates.csv|../../downloads/qc_missing_required.csv
