dataset_id,version,run_id,table_name,column_name,label,description,data_type,units,allow_na,is_key,n_missing,pct_missing,observed_min,observed_max,example_values
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_curve_manifest,year_id,year_id,year_id,integer,,FALSE,TRUE,0,0,1995,2030,1995|1996|1997|1998|1999
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_curve_manifest,location_id,location_id,location_id,integer,,FALSE,TRUE,0,0,1,9000,1|2|3|4|5
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_curve_manifest,location_label,location_label,location_label,character,,FALSE,FALSE,0,0,,,Amazonas (1)|Ancash (2)|Apurimac (3)|Arequipa (4)|Ayacucho (5)
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_curve_manifest,figure_path,figure_path,figure_path,character,,FALSE,FALSE,0,0,,,reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/curvas_edad/curva_edad_loc_1_year_1995.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/curvas_edad/curva_edad_loc_1_year_1996.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/curvas_edad/curva_edad_loc_1_year_1997.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/curvas_edad/curva_edad_loc_1_year_1998.png|reports/qc_demografia_poblacion/modules/coherencia-demografica/figures/curvas_edad/curva_edad_loc_1_year_1999.png
inei_population_1995_2030,v1.0.0,portal-qc-demografia-20260416-023822,coherence_curve_manifest,figure_file,figure_file,figure_file,character,,FALSE,FALSE,0,0,,,curva_edad_loc_1_year_1995.png|curva_edad_loc_1_year_1996.png|curva_edad_loc_1_year_1997.png|curva_edad_loc_1_year_1998.png|curva_edad_loc_1_year_1999.png
