year_id,age,sex_id,dept_sum,nat_pop,diff,diff_pct,flag_diff
1995,68,8532,42147,42147,0,0,FALSE
1995,69,8507,33600,33600,0,0,FALSE
1995,69,8532,39945,39945,0,0,FALSE
1995,70,8507,31511,31511,0,0,FALSE
1995,70,8532,37739,37739,0,0,FALSE
1995,71,8507,29486,29486,0,0,FALSE
1995,71,8532,35587,35587,0,0,FALSE
1995,72,8507,27392,27392,0,0,FALSE
1995,72,8532,33338,33338,0,0,FALSE
1995,73,8507,25151,25151,0,0,FALSE
1995,73,8532,30908,30908,0,0,FALSE
1995,74,8507,22849,22849,0,0,FALSE
1995,74,8532,28389,28389,0,0,FALSE
1995,75,8507,20637,20637,0,0,FALSE
1995,75,8532,25948,25948,0,0,FALSE
1995,76,8507,18481,18481,0,0,FALSE
1995,76,8532,23547,23547,0,0,FALSE
1995,77,8507,16494,16494,0,0,FALSE
1995,77,8532,21307,21307,0,0,FALSE
1995,78,8507,14749,14749,0,0,FALSE
1995,78,8532,19304,19304,0,0,FALSE
1995,79,8507,13187,13187,0,0,FALSE
1995,79,8532,17478,17478,0,0,FALSE
1995,80,8507,9262,9262,0,0,FALSE
1995,80,8532,12282,12282,0,0,FALSE
1995,81,8507,8347,8347,0,0,FALSE
1995,81,8532,11292,11292,0,0,FALSE
1995,82,8507,7447,7447,0,0,FALSE
1995,82,8532,10284,10284,0,0,FALSE
1995,83,8507,6561,6561,0,0,FALSE
1995,83,8532,9270,9270,0,0,FALSE
1995,84,8507,5717,5717,0,0,FALSE
1995,84,8532,8259,8259,0,0,FALSE
1995,85,8507,4915,4915,0,0,FALSE
1995,85,8532,7269,7269,0,0,FALSE
1995,86,8507,4141,4141,0,0,FALSE
1995,86,8532,6276,6276,0,0,FALSE
1995,87,8507,3436,3436,0,0,FALSE
1995,87,8532,5338,5338,0,0,FALSE
1995,88,8507,2803,2803,0,0,FALSE
1995,88,8532,4465,4465,0,0,FALSE
1995,89,8507,2250,2250,0,0,FALSE
1995,89,8532,3675,3675,0,0,FALSE
1995,90,8507,1769,1769,0,0,FALSE
