year_id,sex_id,location_id,pop_internal_80plus,pop_observed_80plus,diff,flag_diff
1997,8532,21,6301,6301,0,FALSE
1997,8532,22,1379,1379,0,FALSE
1997,8532,23,705,705,0,FALSE
1997,8532,24,479,479,0,FALSE
1997,8532,25,605,605,0,FALSE
1998,8507,0,70185,70185,0,FALSE
1998,8507,1,666,666,0,FALSE
1998,8507,2,3686,3686,0,FALSE
1998,8507,3,1341,1341,0,FALSE
1998,8507,4,3683,3683,0,FALSE
1998,8507,5,1956,1956,0,FALSE
1998,8507,6,3425,3425,0,FALSE
1998,8507,7,2163,2163,0,FALSE
1998,8507,8,3534,3534,0,FALSE
1998,8507,9,1386,1386,0,FALSE
1998,8507,10,1174,1174,0,FALSE
1998,8507,11,1723,1723,0,FALSE
1998,8507,12,3503,3503,0,FALSE
1998,8507,13,3709,3709,0,FALSE
1998,8507,14,2961,2961,0,FALSE
1998,8507,15,22191,22191,0,FALSE
1998,8507,16,1065,1065,0,FALSE
1998,8507,17,111,111,0,FALSE
1998,8507,18,502,502,0,FALSE
1998,8507,19,495,495,0,FALSE
1998,8507,20,4065,4065,0,FALSE
1998,8507,21,4427,4427,0,FALSE
1998,8507,22,901,901,0,FALSE
1998,8507,23,490,490,0,FALSE
1998,8507,24,397,397,0,FALSE
1998,8507,25,631,631,0,FALSE
1998,8532,0,103727,103727,-1.45519152283669e-11,FALSE
1998,8532,1,917,917,0,FALSE
1998,8532,2,5319,5319,0,FALSE
1998,8532,3,1999,1999,0,FALSE
1998,8532,4,5380,5380,0,FALSE
1998,8532,5,3457,3457,0,FALSE
1998,8532,6,4897,4897,0,FALSE
1998,8532,7,3099,3099,0,FALSE
1998,8532,8,4685,4685,0,FALSE
1998,8532,9,2248,2248,0,FALSE
1998,8532,10,1821,1821,0,FALSE
1998,8532,11,2454,2454,0,FALSE
1998,8532,12,5030,5030,0,FALSE
1998,8532,13,5946,5946,0,FALSE
1998,8532,14,3925,3925,0,FALSE
1998,8532,15,34176,34176,0,FALSE
1998,8532,16,1613,1613,0,FALSE
1998,8532,17,87,87,0,FALSE
1998,8532,18,658,658,0,FALSE
1998,8532,19,864,864,0,FALSE
1998,8532,20,5276,5276,0,FALSE
1998,8532,21,6588,6588,0,FALSE
1998,8532,22,1425,1425,0,FALSE
1998,8532,23,737,737,0,FALSE
1998,8532,24,492,492,0,FALSE
1998,8532,25,634,634,0,FALSE
1999,8507,0,73264,73264,0,FALSE
1999,8507,1,681,681,0,FALSE
1999,8507,2,3801,3801,0,FALSE
1999,8507,3,1347,1347,0,FALSE
1999,8507,4,3836,3836,0,FALSE
1999,8507,5,2027,2027,0,FALSE
1999,8507,6,3461,3461,0,FALSE
1999,8507,7,2299,2299,0,FALSE
1999,8507,8,3595,3595,0,FALSE
1999,8507,9,1432,1432,0,FALSE
1999,8507,10,1252,1252,0,FALSE
1999,8507,11,1826,1826,0,FALSE
1999,8507,12,3664,3664,0,FALSE
